상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13256823930,플유 헤어빗 꾸미기 세트 랜덤 1개 볼꾸 동대문 빗꾸 펜꾸 꾸미기 재료 비즈볼,,생활/건강>반려동물>미용/목욕>브러시/빗,1311190000.0,완구/취미 > 만들기/DIY > 비즈공예,Mismatch
13256821162,쿠션 스티커 8개 세트 볼록 말랑 데코 꾸미기 팬시 단체 선물,,생활/건강>문구/사무용품>문구용품>기타문구용품,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13252093380,니트 해바라기 화분 장식 풍수 행운 장식 소품 선물,,가구/인테리어>인테리어소품>장식인형,50001069,장식인형,Fixed (Phase2)
13252092783,판다 피규어 만년샤프 (6개),,생활/건강>문구/사무용품>필기도구>샤프,1307040700.0,취미/도서 > 완구/피규어 > 피규어,Mismatch
13252088686,손잡이 캐치 라켓볼 세트 (1set) 핑퐁 핸드라켓 미니스포츠,,출산/육아>완구/인형>스포츠완구>야구/캐치볼,50004271,야구/캐치볼,Fixed (Phase2)
13252087943,다용도 화분 자갈 야광 수족관 조경 장식 색자갈 상토,,생활/건강>정원/원예용품>자갈/모래/흙,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13252087577,베란다 텃밭 화분+받침대세트 채소 상추 대파키우기,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13252087205,와인수납 화분 14x22cm 벽걸이 카페인테리어소품,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13252086993,다용도 화분 자갈 야광 혼합컬러 원예용 색자갈,,생활/건강>정원/원예용품>자갈/모래/흙,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13252086439,베란다 브라켓 선반 수납 받침대 멀티 창틀 다용도 화분,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13252086258,브라켓 멀티 다용도 베란다 화분 수납 창틀 1+1 선반,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13252086090,마카 에어브러쉬 키트 세트 1P 전동 스프레이 18색 컬러 아트,,생활/건강>화방용품>조소/판화용품>조소용품,50003905,조소용품,Fixed (Phase2)
13252085340,비즈수납케이스 개별 64P 케이스 세트 수납 다용도미니수납케이스,,생활/건강>반려동물>리빙용품>하우스,50006726,하우스,Fixed (Phase2)
13252084977,와인수납 화분 벽걸이 카페인테리어소품 14x22cm,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13252084602,받침대 멀티 화분 선반 창틀 다용도 베란다 브라켓 수납,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13252084417,수납 브라켓 1+1 선반 창틀 다용도 멀티 화분 베란다,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,1408040000.0,스포츠/레저 > 배드민턴 > 배드민턴라켓,Mismatch
13252083476,플유 헤어빗 꾸미기 세트 1박스 12개입 볼꾸 동대문 빗꾸 펜꾸 꾸미기 재료 비즈볼,,생활/건강>반려동물>미용/목욕>브러시/빗,1311190000.0,완구/취미 > 만들기/DIY > 비즈공예,Mismatch
13252078931,세면대 벽걸이 고정 브라켓 세트 욕실 세면기 지지대 부속품 30cm,,가구/인테리어>DIY자재/용품>접착제/보수용품,50001067,접착제/보수용품,Fixed (Phase2)
13252077368,만들기대장 얼굴화분 꾸미기세트 다육식물,,출산/육아>완구/인형>미술놀이>색칠공부,50004253,색칠공부,Fixed (Phase2)
13252077016,꾸미기세트 만들기대장-다육식물 달팽이화분,,출산/육아>완구/인형>미술놀이>종이접기,50006998,종이접기,Fixed (Phase2)
13252076511,6종 글씨스티커 스티커꾸미기 다이어리 세트 스티커,,디지털/가전>주변기기>프린터>라벨프린터,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13252075812,만들기대장 얼굴화분 다육식물 꾸미기세트,,출산/육아>완구/인형>미술놀이>색칠공부,50004253,색칠공부,Fixed (Phase2)
13252071960,몬스테라 줄기 식물지지대 화분 식물 고정 지지대,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13252068782,동물 운반 캐리어 자동차 공구 놀이 피규어 세트 역할 단체 선물 장난감,,생활/건강>수집품>무선/RC>자동차,50002766,기타자동차AV용품,Fixed (Phase2)
13252068543,피규어 카트리지 연필세트 20개입 학생 필기구 문구 단체 선물 답례품,,생활/건강>문구/사무용품>필기도구>연필,1307040700.0,취미/도서 > 완구/피규어 > 피규어,Mismatch
13252061290,무타공 창틀 선반 1+1 베란다 화분 거치대 다용도 벽선반 수납대,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13247130024,리본도트 집순이 잠옷세트 여성 파자마 상하의 세트 도트무늬 실내복 귀여운 홈웨어 편안한 숙면 잠옷 데일,,패션의류>여성언더웨어/잠옷>시즌성내의>내복,12161905.0,문구/사무용품 > 포장용품 > 리본/장식끈,Mismatch
13247128308,자석형 종이컵 디스펜서 수거함 세트 벽걸이 컵홀더 정리대,,생활/건강>주방용품>주방잡화>종이컵디스펜서,50004839,종이컵디스펜서,Fixed (Phase2)
13247126588,청량 블루 리본 순면 팬티 5개 세트 여성용 면 팬티 세트 시원한 블루 컬러 속옷 리본 포인트 언더웨어,,패션의류>여성언더웨어/잠옷>팬티,50000824,팬티,Fixed (Phase2)
13247119466,어린이 아동 DIY 비즈 파츠 볼꾸 볼펜 꾸미기 세트,,출산/육아>완구/인형>미술놀이>색칠공부,50004253,색칠공부,Fixed (Phase2)
